WKT,název,popis,polygon_numpy,polygon_numpy_calibrated
"POLYGON ((14.3948469 50.1008679, 14.3947758 50.1008021, 14.3947315 50.1007259, 14.3947087 50.1006395, 14.3947074 50.100553, 14.3947342 50.1004477, 14.394804 50.1003423, 14.3949488 50.1002347, 14.3951231 50.1001582, 14.3953015 50.1001233, 14.3954852 50.1001195, 14.3956556 50.1001388, 14.3958098 50.1001857, 14.3959305 50.1002416, 14.3960472 50.1003276, 14.3961028 50.100393, 14.3961316 50.1004618, 14.3961544 50.100541, 14.3961558 50.1006201, 14.3961437 50.1007001, 14.3960995 50.1007733, 14.3960485 50.1008438, 14.3959761 50.1009074, 14.3958956 50.1009668, 14.3957883 50.101009, 14.3956287 50.1010528, 14.395453 50.1010692, 14.3953028 50.101058, 14.395158 50.1010296, 14.3950521 50.1009986, 14.3949729 50.1009573, 14.3948992 50.1009161, 14.3948469 50.1008679))",Kruhak - silnice,,"[[14.3948469 50.1008679]
 [14.3947758 50.1008021]
 [14.3947315 50.1007259]
 [14.3947087 50.1006395]
 [14.3947074 50.100553 ]
 [14.3947342 50.1004477]
 [14.394804  50.1003423]
 [14.3949488 50.1002347]
 [14.3951231 50.1001582]
 [14.3953015 50.1001233]
 [14.3954852 50.1001195]
 [14.3956556 50.1001388]
 [14.3958098 50.1001857]
 [14.3959305 50.1002416]
 [14.3960472 50.1003276]
 [14.3961028 50.100393 ]
 [14.3961316 50.1004618]
 [14.3961544 50.100541 ]
 [14.3961558 50.1006201]
 [14.3961437 50.1007001]
 [14.3960995 50.1007733]
 [14.3960485 50.1008438]
 [14.3959761 50.1009074]
 [14.3958956 50.1009668]
 [14.3957883 50.101009 ]
 [14.3956287 50.1010528]
 [14.395453  50.1010692]
 [14.3953028 50.101058 ]
 [14.395158  50.1010296]
 [14.3950521 50.1009986]
 [14.3949729 50.1009573]
 [14.3948992 50.1009161]
 [14.3948469 50.1008679]]","[[ 29.39246771 -64.50424864]
 [ 22.30554049 -72.41022623]
 [ 14.098483   -77.3361743 ]
 [  4.79283849 -79.87142567]
 [ -4.52357792 -80.01597932]
 [-15.8648321  -77.03594652]
 [-27.21684872 -69.27452007]
 [-38.80579436 -53.17345704]
 [-47.04512279 -33.7921403 ]
 [-50.80395304 -13.95493058]
 [-51.2131859    6.4716065 ]
 [-49.13446388  25.41924397]
 [-44.0831262   42.56551586]
 [-38.06246855  55.98675208]
 [-28.79993992  68.96320547]
 [-21.75611973  75.14564476]
 [-14.34611274  78.34805768]
 [ -5.81599106  80.88330204]
 [  2.70335879  81.03897462]
 [ 11.3196424   79.69351658]
 [ 19.20354557  74.77869889]
 [ 26.796653    69.10775683]
 [ 33.64661218  61.05724136]
 [ 40.0442219   52.1060469 ]
 [ 44.58933791  40.17482254]
 [ 49.30679587  22.42809665]
 [ 51.07317825   2.89112463]
 [ 49.86692839 -13.81037888]
 [ 46.80816659 -29.91143245]
 [ 43.46936263 -41.68699752]
 [ 39.02119839 -50.49365526]
 [ 34.58380055 -58.68873926]
 [ 29.39246771 -64.50424864]]"
"POLYGON ((14.3914473 50.1003322, 14.3914527 50.1002427, 14.3919837 50.1002668, 14.3921339 50.1002909, 14.3922359 50.1003046, 14.3927723 50.1003356, 14.3933463 50.1003666, 14.3939632 50.1003907, 14.3947786 50.1004148, 14.3947679 50.1005214, 14.39421 50.1004973, 14.3934536 50.1004595, 14.3928528 50.1004285, 14.3921822 50.1003976, 14.3920213 50.1003666, 14.3914473 50.1003322))",Evropská (smer kruhak),,"[[14.3914473 50.1003322]
 [14.3914527 50.1002427]
 [14.3919837 50.1002668]
 [14.3921339 50.1002909]
 [14.3922359 50.1003046]
 [14.3927723 50.1003356]
 [14.3933463 50.1003666]
 [14.3939632 50.1003907]
 [14.3947786 50.1004148]
 [14.3947679 50.1005214]
 [14.39421   50.1004973]
 [14.3934536 50.1004595]
 [14.3928528 50.1004285]
 [14.3921822 50.1003976]
 [14.3920213 50.1003666]
 [14.3914473 50.1003322]]","[[ -28.3050866  -442.52304467]
 [ -37.94475558 -441.92257837]
 [ -35.34896158 -382.8779946 ]
 [ -32.75323579 -366.17649711]
 [ -31.27765645 -354.83460083]
 [ -27.93872105 -295.18956377]
 [ -24.59979754 -231.36359125]
 [ -22.00404882 -162.76734869]
 [ -19.40829718  -72.09888244]
 [  -7.92702964  -73.28867612]
 [ -10.52272733 -135.32441041]
 [ -14.59400597 -219.43236704]
 [ -17.93290431 -286.23836906]
 [ -21.26105671 -360.80578724]
 [ -24.59994353 -378.69707256]
 [ -28.3050866  -442.52304467]]"
"POLYGON ((14.3914366 50.1005214, 14.3914473 50.1004388, 14.3917852 50.1004492, 14.3921393 50.1004457, 14.3925953 50.1004629, 14.3933838 50.1005008, 14.3940919 50.1005318, 14.3945586 50.1005593, 14.3947035 50.1005868, 14.3947464 50.1005902, 14.3947518 50.1007485, 14.3946338 50.1006763, 14.3945855 50.1006556, 14.3943333 50.100635, 14.3940168 50.1006281, 14.3937754 50.1006143, 14.3933463 50.1005937, 14.392944 50.100573, 14.3926489 50.100549, 14.3921876 50.1005386, 14.3917638 50.1005318, 14.3914366 50.1005214))",Evropska (smer od kruhaku),,"[[14.3914366 50.1005214]
 [14.3914473 50.1004388]
 [14.3917852 50.1004492]
 [14.3921393 50.1004457]
 [14.3925953 50.1004629]
 [14.3933838 50.1005008]
 [14.3940919 50.1005318]
 [14.3945586 50.1005593]
 [14.3947035 50.1005868]
 [14.3947464 50.1005902]
 [14.3947518 50.1007485]
 [14.3946338 50.1006763]
 [14.3945855 50.1006556]
 [14.3943333 50.100635 ]
 [14.3940168 50.1006281]
 [14.3937754 50.1006143]
 [14.3933463 50.1005937]
 [14.392944  50.100573 ]
 [14.3926489 50.100549 ]
 [14.3921876 50.1005386]
 [14.3917638 50.1005318]
 [14.3914366 50.1005214]]","[[-7.92714792e+00 -4.43712847e+02]
 [-1.68236474e+01 -4.42523055e+02]
 [-1.57034832e+01 -4.04950238e+02]
 [-1.60804274e+01 -3.65576060e+02]
 [-1.42278642e+01 -3.14871105e+02]
 [-1.01457992e+01 -2.27193786e+02]
 [-6.80692650e+00 -1.48456551e+02]
 [-3.84504380e+00 -9.65618074e+01]
 [-8.83174752e-01 -8.04496405e+01]
 [-5.16980244e-01 -7.56793716e+01]
 [ 1.65325970e+01 -7.50789127e+01]
 [ 8.75635729e+00 -8.81999361e+01]
 [ 6.52688028e+00 -9.35706592e+01]
 [ 4.30817667e+00 -1.21614059e+02]
 [ 3.56502125e+00 -1.56807302e+02]
 [ 2.07870044e+00 -1.83649794e+02]
 [-1.40016361e-01 -2.31363603e+02]
 [-2.36951191e+00 -2.76097384e+02]
 [-4.95444055e+00 -3.08911052e+02]
 [-6.07458748e+00 -3.60205342e+02]
 [-6.80699748e+00 -4.07329817e+02]
 [-7.92714792e+00 -4.43712847e+02]]"
"POLYGON ((14.3921099 50.1005105, 14.3921957 50.1005139, 14.3921421 50.1009509, 14.3921045 50.1012744, 14.3922118 50.1013638, 14.3925873 50.1016563, 14.3930004 50.1019798, 14.3935154 50.1023514, 14.3936173 50.1024133, 14.3937139 50.1024615, 14.393848 50.1025165, 14.3939714 50.1025509, 14.3940518 50.1025716, 14.3941967 50.1025819, 14.3949262 50.102637, 14.3949745 50.1026473, 14.3949691 50.1026817, 14.3943737 50.1026438, 14.3940572 50.1026232, 14.3939499 50.1026025, 14.3937568 50.1025337, 14.3934456 50.1023858, 14.3930004 50.102052, 14.3920509 50.1013122, 14.3920187 50.101264, 14.3921099 50.1005105))",Solinova,,"[[14.3921099 50.1005105]
 [14.3921957 50.1005139]
 [14.3921421 50.1009509]
 [14.3921045 50.1012744]
 [14.3922118 50.1013638]
 [14.3925873 50.1016563]
 [14.3930004 50.1019798]
 [14.3935154 50.1023514]
 [14.3936173 50.1024133]
 [14.3937139 50.1024615]
 [14.393848  50.1025165]
 [14.3939714 50.1025509]
 [14.3940518 50.1025716]
 [14.3941967 50.1025819]
 [14.3949262 50.102637 ]
 [14.3949745 50.1026473]
 [14.3949691 50.1026817]
 [14.3943737 50.1026438]
 [14.3940572 50.1026232]
 [14.3939499 50.1026025]
 [14.3937568 50.1025337]
 [14.3934456 50.1023858]
 [14.3930004 50.102052 ]
 [14.3920509 50.1013122]
 [14.3920187 50.101264 ]
 [14.3921099 50.1005105]]","[[  -9.10111385 -368.84519897]
 [  -8.73491183 -359.30466122]
 [  38.33237813 -365.26468947]
 [  73.17511123 -369.44554623]
 [  82.80394242 -357.51428388]
 [ 114.30759143 -315.76040618]
 [ 149.14996676 -269.82553365]
 [ 189.1727306  -212.5597946 ]
 [ 195.83956903 -201.22896423]
 [ 201.03085158 -190.48747798]
 [ 206.95448663 -175.57616904]
 [ 210.65941018 -161.85466497]
 [ 212.88881855 -152.9145615 ]
 [ 213.99803655 -136.80238483]
 [ 219.93183487  -55.68552192]
 [ 221.04113959  -50.31478969]
 [ 224.74616632  -50.91520986]
 [ 220.66476907 -117.12079726]
 [ 218.44636818 -152.31405979]
 [ 216.21698791 -164.24531141]
 [ 208.80709192 -185.71714484]
 [ 192.87783641 -220.32118269]
 [ 156.92627208 -269.82548571]
 [  77.24639737 -375.4055902 ]
 [  72.0550018  -378.98608739]
 [  -9.10111385 -368.84519897]]"
"POLYGON ((14.394894 50.1028965, 14.3949423 50.1025008, 14.3949691 50.1022668, 14.3949906 50.1020707, 14.3950228 50.1019744, 14.3950764 50.1018367, 14.395114 50.1016888, 14.3951569 50.1014686, 14.3951891 50.1012483, 14.3952052 50.1011038, 14.3951354 50.1009937, 14.3953232 50.1010316, 14.3953446 50.1011141, 14.3953232 50.1012415, 14.3953017 50.1013997, 14.3952964 50.1015339, 14.3952266 50.1018161, 14.3951783 50.1019262, 14.3951408 50.1020604, 14.395114 50.1022668, 14.3950818 50.1024939, 14.3950603 50.1026935, 14.3950389 50.1029034, 14.394894 50.1028965))",Jugoslavskych partizanu (smer kruhak),,"[[14.394894  50.1028965]
 [14.3949423 50.1025008]
 [14.3949691 50.1022668]
 [14.3949906 50.1020707]
 [14.3950228 50.1019744]
 [14.3950764 50.1018367]
 [14.395114  50.1016888]
 [14.3951569 50.1014686]
 [14.3951891 50.1012483]
 [14.3952052 50.1011038]
 [14.3951354 50.1009937]
 [14.3953232 50.1010316]
 [14.3953446 50.1011141]
 [14.3953232 50.1012415]
 [14.3953017 50.1013997]
 [14.3952964 50.1015339]
 [14.3952266 50.1018161]
 [14.3951783 50.1019262]
 [14.3951408 50.1020604]
 [14.395114  50.1022668]
 [14.3950818 50.1024939]
 [14.3950603 50.1026935]
 [14.3950389 50.1029034]
 [14.394894  50.1028965]]","[[247.88109253 -59.26574015]
 [205.26251746 -53.89540676]
 [180.05973108 -50.91557421]
 [158.93893981 -48.5250242 ]
 [148.56701359 -44.94460686]
 [133.7361291  -38.98463489]
 [117.80667904 -34.80378058]
 [ 94.09023134 -30.03361286]
 [ 70.36302572 -26.45320987]
 [ 54.79979321 -24.66300831]
 [ 42.94159667 -32.42444826]
 [ 47.02353983 -11.54200479]
 [ 55.90910945  -9.16241165]
 [ 69.63059666 -11.54195167]
 [ 86.66936818 -13.93259226]
 [101.12324061 -14.52187151]
 [131.51733701 -22.28314569]
 [143.37557686 -27.65380241]
 [157.82948139 -31.82353023]
 [180.05961421 -34.80340708]
 [204.51923121 -38.3836992 ]
 [226.01698248 -40.774207  ]
 [248.62408977 -43.15356559]
 [247.88109253 -59.26574015]]"
"POLYGON ((14.3952266 50.1029068, 14.3952588 50.1026969, 14.3950228 50.1026969, 14.3950335 50.1026419, 14.3952642 50.1026488, 14.3953017 50.1023769, 14.3953178 50.1022152, 14.3953339 50.1020776, 14.3953286 50.1019744, 14.3953232 50.101847, 14.3953286 50.1017335, 14.3953339 50.1016234, 14.3953446 50.1014892, 14.3953661 50.1013447, 14.3953876 50.1012552, 14.3954037 50.1011554, 14.3954305 50.1010935, 14.3954895 50.1010178, 14.3957883 50.101009, 14.3956182 50.1010832, 14.3955592 50.1011279, 14.3955378 50.1012036, 14.3955002 50.1013688, 14.3954788 50.1015374, 14.395468 50.101675, 14.3954573 50.1018023, 14.3954734 50.1019193, 14.3954734 50.1020879, 14.3954305 50.1025008, 14.3954037 50.1027107, 14.3953661 50.1029068, 14.3952266 50.1029068))",Jugoslavskych partizanu (smer od kruhaku),,"[[14.3952266 50.1029068]
 [14.3952588 50.1026969]
 [14.3950228 50.1026969]
 [14.3950335 50.1026419]
 [14.3952642 50.1026488]
 [14.3953017 50.1023769]
 [14.3953178 50.1022152]
 [14.3953339 50.1020776]
 [14.3953286 50.1019744]
 [14.3953232 50.101847 ]
 [14.3953286 50.1017335]
 [14.3953339 50.1016234]
 [14.3953446 50.1014892]
 [14.3953661 50.1013447]
 [14.3953876 50.1012552]
 [14.3954037 50.1011554]
 [14.3954305 50.1010935]
 [14.3954895 50.1010178]
 [14.3957883 50.101009 ]
 [14.3956182 50.1010832]
 [14.3955592 50.1011279]
 [14.3955378 50.1012036]
 [14.3955002 50.1013688]
 [14.3954788 50.1015374]
 [14.395468  50.101675 ]
 [14.3954573 50.1018023]
 [14.3954734 50.1019193]
 [14.3954734 50.1020879]
 [14.3954305 50.1025008]
 [14.3954037 50.1027107]
 [14.3953661 50.1029068]
 [14.3952266 50.1029068]]","[[248.99007427 -22.28224536]
 [226.38297501 -18.70198024]
 [226.38321433 -44.94401918]
 [220.45947914 -43.75428513]
 [221.20240869 -18.10157351]
 [191.91766766 -13.93200168]
 [174.50192644 -12.14188942]
 [159.68185253 -10.35174838]
 [148.56681007 -10.94115132]
 [134.84533182 -11.54168308]
 [122.62093176 -10.94129304]
 [110.76272572 -10.35201486]
 [ 96.30885316  -9.16228779]
 [ 80.74562767  -6.77164906]
 [ 71.10612012  -4.38098432]
 [ 60.35726574  -2.59077199]
 [ 53.69038786   0.38924084]
 [ 45.53719155   6.94973428]
 [ 44.58933791  40.17482254]
 [ 52.58099361  21.26055503]
 [ 57.3953685   14.70005596]
 [ 65.54855436  12.32050143]
 [ 83.34124204   8.13961978]
 [101.50012151   5.76011267]
 [116.32017883   4.55927082]
 [130.03088763   3.36955149]
 [142.63223065   5.15986149]
 [160.79110258   5.15997247]
 [205.26206857   0.39003142]
 [227.86914189  -2.58979951]
 [248.98991868  -6.77053166]
 [248.99007427 -22.28224536]]"
"POLYGON ((14.3939499 50.1004278, 14.3939982 50.1003142, 14.3940357 50.1002489, 14.394143 50.1001766, 14.3943308 50.1000665, 14.3947116 50.0998669, 14.394996 50.0997155, 14.3953661 50.0995262, 14.3954358 50.0995262, 14.3954305 50.0995779, 14.3953607 50.0995813, 14.3952105 50.099657, 14.3946044 50.0999701, 14.3943951 50.1000871, 14.3942128 50.1001938, 14.3941162 50.1002626, 14.3940625 50.1003418, 14.3940465 50.1004347, 14.3939499 50.1004278))",Periferie 1,,"[[14.3939499 50.1004278]
 [14.3939982 50.1003142]
 [14.3940357 50.1002489]
 [14.394143  50.1001766]
 [14.3943308 50.1000665]
 [14.3947116 50.0998669]
 [14.394996  50.0997155]
 [14.3953661 50.0995262]
 [14.3954358 50.0995262]
 [14.3954305 50.0995779]
 [14.3953607 50.0995813]
 [14.3952105 50.099657 ]
 [14.3946044 50.0999701]
 [14.3943951 50.1000871]
 [14.3942128 50.1001938]
 [14.3941162 50.1002626]
 [14.3940625 50.1003418]
 [14.3940465 50.1004347]
 [14.3939499 50.1004278]]","[[ -18.0082094  -164.24624648]
 [ -30.24344562 -158.87551222]
 [ -37.27654832 -154.70568714]
 [ -45.06356637 -142.77444212]
 [ -56.92178488 -121.89198169]
 [ -78.41945294  -79.54883654]
 [ -94.72575332  -47.92489885]
 [-115.11394804   -6.77151348]
 [-115.1139121     0.97878361]
 [-109.54562386    0.38942449]
 [-109.17946478   -7.37199372]
 [-101.02634593  -24.0735293 ]
 [ -67.30440829  -91.46898176]
 [ -54.70305812 -114.74214302]
 [ -43.21103532 -135.01302881]
 [ -35.80098294 -145.75448535]
 [ -27.2707914  -151.725672  ]
 [ -17.26504018 -153.50480226]
 [ -18.0082094  -164.24624648]]"
"POLYGON ((14.3957094 50.0995262, 14.3963961 50.1000218, 14.3969164 50.1004243, 14.397072 50.1005551, 14.3971203 50.1007203, 14.3970398 50.1007237, 14.3970022 50.1006067, 14.3969915 50.1005585, 14.3968252 50.1004243, 14.396675 50.1003074, 14.3964765 50.100156, 14.3962512 50.0999839, 14.3960688 50.0998497, 14.3959079 50.0997327, 14.3957523 50.0996192, 14.3956933 50.0995951, 14.3957094 50.0995262))",Periferie 2,,"[[14.3957094 50.0995262]
 [14.3963961 50.1000218]
 [14.3969164 50.1004243]
 [14.397072  50.1005551]
 [14.3971203 50.1007203]
 [14.3970398 50.1007237]
 [14.3970022 50.1006067]
 [14.3969915 50.1005585]
 [14.3968252 50.1004243]
 [14.396675  50.1003074]
 [14.3964765 50.100156 ]
 [14.3962512 50.0999839]
 [14.3960688 50.0998497]
 [14.3959079 50.0997327]
 [14.3957523 50.0996192]
 [14.3956933 50.0995951]
 [14.3957094 50.0995262]]","[[-115.11377102   31.40175757]
 [ -61.73560121  107.75922902]
 [ -18.3849312   165.61395931]
 [  -4.29735351  182.91590736]
 [  13.49519493  188.28663303]
 [  13.86139038  179.33542927]
 [   1.26012661  175.15449042]
 [  -3.9311644   173.96470334]
 [ -18.38493871  155.47296799]
 [ -30.97546532  138.77147946]
 [ -47.28178501  116.69928174]
 [ -65.8176036    91.64707238]
 [ -80.27147774   71.36513228]
 [ -92.87286348   53.47388782]
 [-105.09730181   36.17198208]
 [-107.69299021   29.61148347]
 [-115.11377102   31.40175757]]"
"POLYGON ((14.3970566 50.1007349, 14.3970136 50.1007917, 14.3969385 50.1008536, 14.3968474 50.1009035, 14.3967669 50.1009431, 14.3966784 50.1009913, 14.3965738 50.1010446, 14.3964718 50.1011014, 14.3963511 50.1011685, 14.3962492 50.101227, 14.3961473 50.1012803, 14.3960293 50.1013388, 14.39593 50.1013904, 14.395812 50.1014506, 14.395702 50.1014902, 14.3956082 50.1015126, 14.3955197 50.1015263, 14.3954526 50.1015298, 14.3954151 50.1015452, 14.3952461 50.1015298, 14.3952514 50.1014747, 14.3954043 50.1014988, 14.3955143 50.1014902, 14.3956189 50.1014695, 14.395694 50.1014523, 14.3957691 50.1014231, 14.3958442 50.1013921, 14.3959139 50.1013526, 14.3959971 50.1013113, 14.3961446 50.1012304, 14.3963002 50.1011461, 14.3964075 50.1010893, 14.3965094 50.1010325, 14.3966086 50.1009775, 14.3966945 50.1009328, 14.396791 50.1008794, 14.3968634 50.1008485, 14.3969171 50.100814, 14.3969734 50.1007642, 14.3969949 50.1007315, 14.3970566 50.1007349))",Periferie 3,,"[[14.3970566 50.1007349]
 [14.3970136 50.1007917]
 [14.3969385 50.1008536]
 [14.3968474 50.1009035]
 [14.3967669 50.1009431]
 [14.3966784 50.1009913]
 [14.3965738 50.1010446]
 [14.3964718 50.1011014]
 [14.3963511 50.1011685]
 [14.3962492 50.101227 ]
 [14.3961473 50.1012803]
 [14.3960293 50.1013388]
 [14.39593   50.1013904]
 [14.395812  50.1014506]
 [14.395702  50.1014902]
 [14.3956082 50.1015126]
 [14.3955197 50.1015263]
 [14.3954526 50.1015298]
 [14.3954151 50.1015452]
 [14.3952461 50.1015298]
 [14.3952514 50.1014747]
 [14.3954043 50.1014988]
 [14.3955143 50.1014902]
 [14.3956189 50.1014695]
 [14.395694  50.1014523]
 [14.3957691 50.1014231]
 [14.3958442 50.1013921]
 [14.3959139 50.1013526]
 [14.3959971 50.1013113]
 [14.3961446 50.1012304]
 [14.3963002 50.1011461]
 [14.3964075 50.1010893]
 [14.3965094 50.1010325]
 [14.3966086 50.1009775]
 [14.3966945 50.1009328]
 [14.396791  50.1008794]
 [14.3968634 50.1008485]
 [14.3969171 50.100814 ]
 [14.3969734 50.1007642]
 [14.3969949 50.1007315]
 [14.3970566 50.1007349]]","[[ 15.06766408 181.20350732]
 [ 21.1852044  176.42212334]
 [ 27.85203712 168.0713794 ]
 [ 33.22643836 157.9415142 ]
 [ 37.49149875 148.99031632]
 [ 42.68281196 139.1495601 ]
 [ 48.42341976 127.51856524]
 [ 54.54099415 116.17667975]
 [ 61.76792468 102.75545049]
 [ 68.06860718  91.42468829]
 [ 73.80923702  80.09392602]
 [ 80.10993655  66.97292609]
 [ 85.66748034  55.93127318]
 [ 92.15128856  42.81027693]
 [ 96.41640272  30.57883431]
 [ 98.82900839  20.14874527]
 [100.30459024  10.30798659]
 [100.68158396   2.84679823]
 [102.34024085  -1.3230105 ]
 [100.68167709 -20.11498584]
 [ 94.74718575 -19.52567527]
 [ 97.34278484  -2.52393746]
 [ 96.41648379   9.70751775]
 [ 94.18697003  21.33851458]
 [ 92.33443366  29.68925815]
 [ 89.18945386  38.03999717]
 [ 85.85060953  46.39073593]
 [ 81.59628839  54.14101867]
 [ 77.14809872  63.39243512]
 [ 68.43483113  79.79368391]
 [ 59.35538109  97.09561502]
 [ 53.23779853 109.02683326]
 [ 47.12022299 120.35759957]
 [ 41.19651951 131.38814099]
 [ 36.38216715 140.93979086]
 [ 30.63079889 151.67010834]
 [ 27.30276019 159.72062826]
 [ 23.58699426 165.69180026]
 [ 18.22337179 171.95207876]
 [ 14.7014776  174.34277065]
 [ 15.06766408 181.20350732]]"
"POLYGON ((14.3952029 50.1001678, 14.3952512 50.1001024, 14.3953102 50.1000577, 14.3953317 50.0998513, 14.3953585 50.0996448, 14.3953607 50.0995813, 14.3953692 50.0994899, 14.3954014 50.0993592, 14.3954336 50.0991252, 14.3954658 50.0989222, 14.3954658 50.098874, 14.3956106 50.0988981, 14.3958145 50.0989015, 14.3957877 50.0990529, 14.3957608 50.0992766, 14.3957501 50.0994349, 14.3957501 50.0995484, 14.3957501 50.0996792, 14.3957233 50.0998409, 14.3957072 50.0999923, 14.3956965 50.1001369, 14.3956965 50.1001885, 14.3955463 50.1001747, 14.3955677 50.099982, 14.3955731 50.0998513, 14.3955892 50.0996895, 14.3956106 50.0996517, 14.3956214 50.0995347, 14.3956053 50.0994246, 14.3956214 50.0992835, 14.3956321 50.0991424, 14.3956536 50.0989531, 14.3955785 50.0989497, 14.3955624 50.0991734, 14.3955463 50.0993454, 14.3955194 50.0994487, 14.3955033 50.0995588, 14.3954819 50.0996861, 14.3954658 50.0998478, 14.3954551 50.099982, 14.3954497 50.100068, 14.3954014 50.1001644, 14.3952029 50.1001678))",Svatovitska,,"[[14.3952029 50.1001678]
 [14.3952512 50.1001024]
 [14.3953102 50.1000577]
 [14.3953317 50.0998513]
 [14.3953585 50.0996448]
 [14.3953607 50.0995813]
 [14.3953692 50.0994899]
 [14.3954014 50.0993592]
 [14.3954336 50.0991252]
 [14.3954658 50.0989222]
 [14.3954658 50.098874 ]
 [14.3956106 50.0988981]
 [14.3958145 50.0989015]
 [14.3957877 50.0990529]
 [14.3957608 50.0992766]
 [14.3957501 50.0994349]
 [14.3957501 50.0995484]
 [14.3957501 50.0996792]
 [14.3957233 50.0998409]
 [14.3957072 50.0999923]
 [14.3956965 50.1001369]
 [14.3956965 50.1001885]
 [14.3955463 50.1001747]
 [14.3955677 50.099982 ]
 [14.3955731 50.0998513]
 [14.3955892 50.0996895]
 [14.3956106 50.0996517]
 [14.3956214 50.0995347]
 [14.3956053 50.0994246]
 [14.3956214 50.0992835]
 [14.3956321 50.0991424]
 [14.3956536 50.0989531]
 [14.3955785 50.0989497]
 [14.3955624 50.0991734]
 [14.3955463 50.0993454]
 [14.3955194 50.0994487]
 [14.3955033 50.0995588]
 [14.3954819 50.0996861]
 [14.3954658 50.0998478]
 [14.3954551 50.099982 ]
 [14.3954497 50.100068 ]
 [14.3954014 50.1001644]
 [14.3952029 50.1001678]]","[[ -46.0111476   -24.91877484]
 [ -53.05497754  -19.54803841]
 [ -57.86932988  -12.98751792]
 [ -80.0994165   -10.59676192]
 [-102.3402668    -7.61665204]
 [-109.17946478   -7.37199372]
 [-119.02359863   -6.42679029]
 [-133.10048138   -2.84623722]
 [-158.30317148    0.73439229]
 [-180.16703433    4.31502293]
 [-185.35836088    4.31506115]
 [-182.76257905   20.41608952]
 [-182.39621953   43.08876369]
 [-166.08989897   40.10862108]
 [-141.99659503   37.11732391]
 [-124.94710087   35.92744488]
 [-112.72272715   35.92738636]
 [ -98.63507885   35.92732638]
 [ -81.21939495   32.94723514]
 [ -64.91305247   31.15694635]
 [ -49.33909202   29.96712316]
 [ -43.78157805   29.96711273]
 [ -45.26792039   13.26561435]
 [ -66.02244239   15.64523559]
 [ -80.09932988   16.24573045]
 [ -97.52580069   18.03603359]
 [-101.596995     20.41562464]
 [-114.19833414   21.61658628]
 [-126.05653109   19.82640287]
 [-141.25352751   21.61672548]
 [-156.45052553   22.80660397]
 [-176.83883596   25.19743507]
 [-177.20508843   16.84668715]
 [-153.11175584   15.05628606]
 [-134.58670786   13.26593792]
 [-123.46091694   10.27473243]
 [-111.60273171    8.48443549]
 [ -97.8920407     6.10480292]
 [ -80.47633193    4.31449956]
 [ -66.02247569    3.12466955]
 [ -56.75994377    2.52419321]
 [ -46.37729995   -2.84655073]
 [ -46.0111476   -24.91877484]]"
